order_id,customer_id,store_id,employee_id,order_date,payment_method,discount_pct,order_status
117,395,11,31,12/04/2024,PayPal,0.0,Completed
118,822,77,11,13/06/2025,PayPal,0.15,Completed
119,5,7,79,"December 05, 2025",CASH,0.0,Completed
120,626,2,18,2026-03-17,Credit Card,5%,Completed
121,543,5,68,06/04/2024,credit card,0.15,Completed
122,1186,11,67,17-01-2023,Debit Card,10%,Completed
123,508,8,53,09-12-2024,Credit Card,10%,Completed
124,869,9,68,2025/11/11,-,0.05,Completed
125,267,3,16,2023-03-29,credit card,0.0,Cancelled
126,428,10,74,"October 20, 2025",Debit  Card,0.05,Completed
127,1018,4,90,"June 09, 2026",credit card,0.0,Completed
128,232,8,86,2025-12-14,Gift Card,5%,Completed
129,1141,9,1,2023-11-29,Debit Card,0.0,Completed
130,163,3,3,21 Jul 2025,Credit Card,0.0,Completed
131,740,5,47,11/09/2023,Debit Card,20%,Completed
132,114,77,35,2024/05/19,Credit Card,0.0,Completed
133,831,11,88,2026-07-21,Gift Card,5%,Completed
134,986,9,44,07/01/2026,N/A,0.0,Completed
135,1011,3,31,2024/02/29,Credit Card,5%,Completed
136,532,6,58,12/12/2024,Cash,25%,Completed
137,701,9,11,,,0.0,Completed
138,1017,10,62,2023-12-15,NaN,5%,Completed
139,723,3,31,12 Mar 2026,Credit Card,0.0,Completed
140,405,13,62,2024-03-07,credit card,0.05,Returned
141,762,6,16,2023/10/27,Debit  Card,0.0,Completed
142,40,13,60,03 Feb 2024,Cash,0.0,Cancelled
143,376,5,72,02/16/2023,CASH,0.1,Completed
144,1060,9,31,16 Apr 2026,Debit  Card,5%,Completed
145,890,12,60,07/02/2025,PayPal,0.0,Completed
146,624,10,60,07/04/2025,credit card,5%,Completed
147,832,13,999,2023/05/16,Credit Card,15%,Completed
148,1171,1,29,,PayPal,0.0,Completed
149,858,1,81,"February 12, 2026",Cash,0.0,Completed
150,468,8,54,2024/07/28,Debit Card,0.0,Completed
151,315,1,29,21 Oct 2024,Cash,0.0,Completed
152,121,2,87,2024/11/02,Cash,0.0,Completed
153,374,7,40,29-03-2023,CASH,15%,Completed
154,24,11,9,07/08/2024,Gift Card,5%,Completed
155,559,8,40,14 Jul 2026,credit card,0.0,Completed
156,986,13,62,30 Dec 2023,Credit Card,10%,Completed
157,335,12,39,2023-11-28,Credit Card,0.0,Completed
158,1153,1,74,24-05-2025,Debit  Card,0.0,Completed
159,639,5,19,2024/04/14,credit card,0.0,Completed
160,108,12,37,08/12/2023,Debit Card,0.0,Completed
161,887,8,47,"March 11, 2023",Gift Card,10%,Completed
162,1177,7,76,24 Nov 2024,Debit Card,0.0,Completed
163,358,9,61,12/05/2025,Store Credit,5%,Completed
164,41,8,30,2026/02/21,Gift Card,0.0,completed
165,867,5,13,17-06-2025,Credit Card,10%,Completed
166,391,12,59,12-09-2024,Cash,0.0,Completed
167,271,6,13,19-03-2025,credit card,0.1,Completed
168,1204,5,82,2024/08/10,PayPal,25%,Completed
169,146,2,76,2025-10-20,Debit Card,5%,Completed
170,73,8,67,2023/05/20,credit card,0.0,Completed
171,458,12,89,2025-04-17,Debit  Card,0.0,Completed
172,644,6,64,29 Apr 2025,Gift Card,0.2,Completed
173,270,5,53,2026/04/03,CASH,0.0,Completed
174,1099,11,47,08/05/2025,Credit Card,0.15,Completed
175,893,2,41,"February 23, 2024",CASH,0.0,Completed
176,861,10,58,04/19/2025,NaN,0.0,Completed
177,1215,1,14,10/06/2023,Cash,0.0,Completed
178,305,8,66,12/01/2024,Credit Card,0.05,Cancelled
179,801,11,15,07/06/2026,Store Credit,0.0,Completed
180,722,2,68,"October 30, 2024",Credit Card,10%,Completed
181,1211,7,43,11/30/2023,CASH,0.25,Completed
182,25,8,20,,Store Credit,10%,Completed
183,595,8,20,18-05-2024,Credit Card,0.05,Completed
184,59,9,29,"March 22, 2025",credit card,0.0,Completed
185,582,10,71,25/01/2025,Debit  Card,0.0,Completed
186,891,7,68,13 Jul 2026,Store Credit,0.05,Completed
187,207,2,55,"November 19, 2024",credit card,0.0,Completed
188,622,4,12,10/10/2025,,0.05,Completed
189,1084,77,45,28 Feb 2026,Debit  Card,0.0,Completed
190,496,1,87,24/09/2025,Cash,0.0,Completed
191,852,2,48,20 Feb 2025,Cash,0.0,Completed
192,284,6,38,04-02-2024,PayPal,0.0,Completed
193,75,11,73,09 Jul 2026,Debit  Card,0.05,Completed
194,1066,9,62,2024-09-20,Gift Card,0.0,Completed
195,510,9,29,2025-07-06,PayPal,10%,Completed
196,630,10,29,28-12-2025,Cash,0.25,Completed
197,846,6,35,17/05/2023,Gift Card,0.0,Completed
198,774,3,19,31/12/2025,NULL,0.0,Completed
199,266,4,37,07 Jun 2025,Cash,0.0,Completed
200,756,9,73,"November 28, 2023",Debit Card,0.1,Completed
201,25,6,9,31 Oct 2023,Cash,0.0,Completed
202,261,8,68,"November 23, 2025",Credit Card,0.05,Completed
203,397,7,11,29 Jan 2026,Store Credit,0.0,Completed
204,578,5,39,11-07-2026,Store Credit,0.0,Completed
205,805,4,10,06-12-2024,,0.0,Completed
206,226,9,5,"June 11, 2026",Cash,5%,Completed
207,510,11,74,16/07/2025,Cash,0.0,Completed
208,255,77,14,2023/08/17,credit card,0.1,Completed
209,293,5,63,22-06-2023,Cash,0.0,Completed
210,161,5,12,23 Sep 2023,Store Credit,0.0,Completed
211,701,2,90,27/12/2024,Credit Card,10%,Completed
212,1029,6,54,23 Oct 2023,CASH,0.0,Completed
213,1031,8,68,09 Aug 2024,credit card,0.0,Completed
214,645,8,17,11/11/2024,PayPal,20%,Completed
215,549,1,29,07-11-2023,Store Credit,0.0,Completed
216,471,4,78,"October 31, 2025",PayPal,0.0,Completed
217,829,5,10,16/07/2023,Debit  Card,0.0,Returned
218,1140,1,45,2023/05/28,Credit Card,0.0,PENDING
219,832,11,43,04/23/2025,N/A,0.0,Completed
220,576,8,38,"December 18, 2024",CASH,0.2,Completed
221,1063,10,35,2023/02/09,Gift Card,0.05,Completed
222,110,8,60,15 Apr 2026,Gift Card,0.0,Completed
223,635,10,26,25/07/2023,Store Credit,0.1,Returned
224,152,8,14,2026-02-24,PayPal,0.05,Completed
225,191,5,37,02-10-2023,CASH,0.0,Completed
226,478,11,85,2023/08/13,credit card,0.05,Completed
227,1163,2,62,02/05/2026,credit card,10%,Completed
228,114,5,80,2026/04/21,CASH,0.05,Completed
229,791,12,15,17/07/2025,Gift Card,0.2,Completed
230,1164,77,39,"December 27, 2024",Debit  Card,0.1,Completed
231,402,13,72,04-10-2023,Gift Card,0.1,Completed
232,982,11,50,2023-07-10,Gift Card,0.05,Completed
233,255,13,62,28/02/2023,Credit Card,15%,Completed
234,208,8,30,2023/06/02,Cash,0.1,Completed
235,806,12,76,30 Aug 2023,PayPal,5%,Completed
236,1214,9,89,2023/08/18,credit card,5%,Completed
237,473,10,999,03 Jan 2023,Cash,0.0,completed
238,815,12,75,24 Mar 2023,Credit Card,20%,Completed
239,356,7,7,12 Nov 2024,Cash,0.0,Completed
240,171,77,42,25/08/2024,Gift Card,0.0,Completed
241,1054,2,18,,Store Credit,0.2,Completed
242,396,9,39,2023-03-01,Store Credit,5%,Completed
243,403,11,28,2023-02-08,Debit  Card,0.0,Returned
244,955,11,32,02-01-2026,credit card,0.05,Completed
245,284,3,10,02/17/2025,Credit Card,0.1,Completed
246,1078,12,51,2026/02/06,Gift Card,10%,Completed
247,847,5,15,"April 15, 2026",Gift Card,0.05,Completed
248,1211,2,53,,Gift Card,0.1,Completed
249,139,12,74,07/21/2025,Store Credit,0.1,Completed
250,824,13,59,06/08/2023,Debit  Card,15%,Completed
251,1163,6,22,15/12/2024,PayPal,20%,Completed
252,571,13,32,2025/12/03,Store Credit,0.1,Completed
253,238,2,40,05-09-2023,Credit Card,10%,Completed
254,657,9,64,15-05-2024,Credit Card,0.0,Returned
255,342,13,62,02-05-2023,Cash,0.05,Completed
256,546,7,31,2023/03/22,CASH,0.0,Completed
257,299,4,42,08/03/2025,credit card,5%,Completed
258,1163,8,60,17 Mar 2026,Gift Card,0.1,Completed
259,1002,77,75,2024/01/13,Debit Card,0.0,Completed
260,175,2,9,21/02/2024,Credit Card,0.0,Completed
261,304,6,51,2023-11-15,Debit Card,0.2,Completed
262,329,4,27,16/05/2026,NaN,0.0,Completed
263,1184,3,81,08/02/2025,Gift Card,0.0,Completed
264,351,13,15,"September 12, 2025",Gift Card,0.0,Completed
265,471,12,55,22-10-2025,Debit Card,0.25,Completed
266,14,2,79,"December 27, 2023",Debit  Card,0.0,Completed
267,895,11,999,10/18/2025,CASH,0.0,Completed
268,671,6,43,,credit card,0.0,Completed
269,236,10,39,12/19/2024,CASH,0.05,Completed
270,98,1,27,06/30/2023,-,0.0,Completed
271,473,1,11,15 Feb 2024,PayPal,0.15,Completed
272,420,10,15,"June 17, 2024",Credit Card,0.25,Completed
273,852,12,51,06/07/2026,CASH,0.0,Completed
274,626,1,32,17-02-2024,Cash,0.0,Completed
275,893,7,34,01-06-2025,PayPal,5%,Completed
276,57,2,43,05/08/2023,CASH,10%,Completed
277,8,10,17,,Credit Card,0.0,Cancelled
278,836,10,74,15 Aug 2025,Gift Card,0.25,Completed
279,679,6,21,21 Jul 2026,Store Credit,0.05,Completed
280,1123,4,59,19-08-2024,Credit Card,0.05,Completed
281,627,8,52,09/07/2025,,0.0,Completed
282,676,13,21,10 Apr 2026,Debit Card,10%,Completed
283,1131,9,23,05-01-2023,Store Credit,0.0,Cancelled
284,41,5,46,2025-12-02,Debit  Card,0.1,Completed
285,139,13,40,12/31/2023,credit card,10%,Completed
286,605,11,47,05 Mar 2024,credit card,5%,Completed
287,912,8,77,08/26/2025,Debit  Card,0.05,Completed
288,458,1,11,05/09/2024,Debit  Card,0.0,Completed
289,214,2,50,24-12-2025,Store Credit,0.0,Returned
290,80,13,14,03/08/2024,Cash,0.15,Completed
291,1069,10,49,24/03/2026,CASH,0.0,Completed
292,1040,11,74,2023-03-02,Debit  Card,0.15,Returned
293,240,12,32,18/07/2024,Debit Card,0.1,Completed
294,673,12,51,03/16/2026,Gift Card,0.2,Completed
295,1108,9,87,2024/05/23,Store Credit,0.0,Completed
296,1050,11,14,"December 17, 2023",Debit  Card,0.05,Completed
297,1165,1,83,"April 07, 2023",PayPal,0.0,Completed
298,518,77,40,27/03/2026,Debit Card,0.0,Completed
299,704,5,84,"May 27, 2024",Cash,0.0,Completed
300,531,4,44,"April 29, 2024",Store Credit,0.05,Completed
301,1163,12,7,06/02/2026,credit card,0.0,Completed
302,1040,13,29,14 Jul 2025,Store Credit,0.15,Completed
303,634,77,28,2025/07/07,Gift Card,0.25,Completed
304,201,13,88,2026/03/09,Gift Card,0.1,Completed
305,6,8,66,05/15/2026,Gift Card,5%,Completed
306,579,1,31,11-07-2026,Debit Card,0.15,Completed
307,89,12,24,03 Jan 2023,CASH,0.0,Completed
308,488,6,89,"August 06, 2024",Debit  Card,5%,Completed
309,110,4,18,2024-02-27,PayPal,20%,Completed
310,69,10,32,04/06/2024,Credit Card,10%,Completed
311,84,7,15,03-12-2025,PayPal,0.0,Completed
312,1155,5,61,"April 10, 2026",Gift Card,10%,Completed
313,303,8,87,17-12-2023,Credit Card,0.1,Completed
314,316,3,20,2025/03/18,Credit Card,0.15,Completed
315,859,9,89,24-02-2023,credit card,0.0,Returned
316,1190,6,7,13/03/2025,Credit Card,0.0,Completed
317,1104,10,87,04/24/2024,Debit  Card,0.0,completed
318,1181,12,77,2025-01-03,Store Credit,0.0,Completed
319,501,7,73,09/12/2023,CASH,0.0,Completed
320,377,11,24,01-07-2024,Credit Card,0.0,Completed
321,77,7,83,2023-09-22,credit card,0.2,Completed
322,115,4,75,23/12/2024,CASH,10%,Completed
323,235,7,24,05/08/2024,Gift Card,0.1,Completed
324,149,12,77,"August 04, 2025",Debit Card,0.0,Completed
325,460,1,62,06 Jan 2025,Credit Card,0.0,Completed
326,298,9,30,12/06/2024,Credit Card,0.05,Completed
327,664,8,70,"May 21, 2024",Debit Card,0.05,Completed
328,326,12,85,2024-08-22,Debit Card,0.05,Completed
329,109,5,34,21-01-2023,Debit Card,0.0,Completed
330,837,1,73,,CASH,0.0,Cancelled
331,902,3,89,07/19/2024,credit card,0.05,Completed
332,954,12,33,2024-12-25,-,0.0,Completed
333,559,7,41,17/03/2026,Cash,0.0,Completed
334,1025,10,59,08/01/2025,Store Credit,20%,Completed
335,1050,13,19,2024/09/08,CASH,0.15,Completed
336,3,6,26,22/07/2026,Credit Card,15%,Completed
337,815,9,66,2025/05/11,CASH,0.0,PENDING
338,1183,77,48,09/25/2024,Cash,5%,Completed
339,538,3,72,2025/03/12,PayPal,5%,Completed
340,37,2,74,20-04-2024,none,0.05,Completed
341,243,8,1,29/04/2024,Cash,0.05,Completed
342,958,11,14,2025-02-10,PayPal,10%,Completed
343,1123,10,48,08/24/2023,PayPal,0.1,Completed
344,671,2,12,2024-08-14,Debit  Card,0.0,Completed
345,1138,12,47,04/12/2023,credit card,0.0,Completed
346,335,11,81,2024-08-16,Credit Card,0.0,Completed
347,964,6,80,2024/05/07,credit card,0.1,Completed
348,865,6,77,23-06-2025,Debit Card,0.15,Completed
349,529,11,84,2023-11-05,credit card,0.0,Completed
350,598,1,88,01/30/2023,Gift Card,15%,Completed
351,471,77,57,"April 24, 2023",Debit  Card,0.1,Completed
352,772,13,1,2024-07-17,Debit  Card,10%,Completed
353,744,9,39,04-07-2025,PayPal,5%,Completed
354,120,4,44,2026/07/13,credit card,5%,Completed
355,55,10,80,16-08-2024,Gift Card,0.05,Cancelled
356,1211,2,13,2026/06/11,Store Credit,15%,Completed
357,146,9,33,"November 12, 2024",credit card,0.0,Completed
358,157,4,46,12/30/2024,Credit Card,0.1,Completed
359,407,11,36,,Credit Card,0.05,Completed
360,858,5,20,05/11/2024,Credit Card,0.0,Completed
361,1120,77,21,31/01/2024,Store Credit,0.1,Completed
362,289,2,37,"April 13, 2023",PayPal,0.0,Completed
363,604,3,75,2026/01/20,Store Credit,0.0,Completed
364,370,2,34,"September 20, 2025",Credit Card,0.0,Completed
365,296,10,24,"July 03, 2026",Store Credit,0.0,Completed
366,1208,9,68,15-01-2025,Store Credit,0.0,Completed
367,604,2,31,05/04/2026,Gift Card,0.0,Completed
368,7,12,43,12-05-2026,Cash,0.2,Completed
369,515,7,32,20-10-2025,Store Credit,5%,Completed
370,497,7,86,16-04-2024,CASH,0.0,Completed
371,271,12,31,28/10/2024,Credit Card,15%,Completed
372,517,9,4,2026-06-21,Debit Card,0.15,Completed
373,614,4,32,06/03/2023,Debit  Card,0.0,Completed
374,332,5,39,27 Sep 2024,Cash,0.0,Completed
375,157,4,70,"January 15, 2024",Debit  Card,0.05,Completed
376,810,7,10,28 Apr 2023,Store Credit,0.0,Completed
377,475,6,56,2025-09-03,Debit Card,0.0,Completed
378,1070,3,44,"September 29, 2024",Store Credit,0.0,Completed
379,648,77,79,"May 17, 2024",PayPal,0.0,Completed
380,321,12,69,08/30/2023,Credit Card,0.25,Completed
381,344,77,79,08 Apr 2023,Debit Card,0.05,Completed
382,35,4,56,12/08/2024,Debit  Card,0.2,Completed
383,1117,7,18,06-11-2025,Debit Card,0.0,Completed
384,776,1,32,21/04/2025,Store Credit,0.0,Completed
385,164,12,1,07/08/2023,PayPal,0.0,Completed
386,755,8,32,2023/04/30,Debit Card,0.0,Completed
387,928,8,83,07/19/2025,credit card,10%,Completed
388,963,4,8,2024/06/09,Debit Card,0.2,Completed
389,918,1,40,2023/06/29,Debit Card,0.1,Completed
390,841,9,78,"December 14, 2023",Debit  Card,0.1,completed
391,80,5,14,01 Aug 2023,Cash,0.0,Completed
392,585,7,83,26 Feb 2025,credit card,0.0,Completed
393,571,9,86,15/09/2024,Gift Card,15%,Completed
394,145,12,21,30/10/2024,-,0.0,Completed
395,332,4,87,"April 08, 2023",PayPal,0.05,Completed
396,66,8,53,2023-03-11,Cash,0.0,Completed
397,462,77,32,2025/07/11,Store Credit,5%,Completed
398,770,3,70,2026-07-23,credit card,0.0,Completed
399,156,1,70,02/27/2026,Gift Card,0.05,Completed
400,405,6,52,29/07/2025,Debit Card,0.0,Completed
401,653,7,47,2024/04/23,PayPal,0.05,Completed
402,1164,6,79,10-04-2026,credit card,0.05,Completed
403,793,3,73,"May 18, 2023",credit card,10%,Cancelled
404,587,2,72,23-12-2024,Debit Card,0.0,Completed
405,752,3,8,2025/06/07,Store Credit,0.2,Completed
406,808,11,41,05/01/2024,Cash,0.0,Returned
407,1007,5,11,2025-12-23,Debit Card,0.0,Completed
408,537,8,26,01-03-2023,Credit Card,0.0,Completed
409,496,3,12,21-07-2024,Credit Card,0.1,Completed
410,411,13,56,2024-10-22,PayPal,0.0,Completed
411,182,77,71,01/04/2023,credit card,15%,Completed
412,1164,1,11,24-01-2025,Cash,0.0,Returned
413,485,3,42,"June 14, 2023",Cash,0.0,Completed
414,418,13,39,08 Feb 2026,Store Credit,0.1,Completed
415,414,4,77,10/10/2024,CASH,0.1,Completed
416,1011,4,38,2023-01-01,Debit Card,10%,Completed
417,418,9,11,19 Jan 2025,PayPal,25%,Completed
418,1077,10,7,"May 09, 2026",CASH,0.05,Completed
419,739,3,25,06 Mar 2023,Credit Card,0.0,Completed
420,445,4,42,04/04/2025,Cash,0.0,Completed
421,883,77,81,2023/10/14,Cash,0.0,Completed
422,446,12,71,"July 07, 2025",Debit  Card,15%,Completed
423,62,2,31,03/22/2024,PayPal,0.1,Completed
424,754,7,4,26/12/2023,CASH,20%,Completed
425,1016,8,45,2023/03/10,Debit  Card,10%,Completed
426,773,13,27,13/08/2023,Store Credit,0.0,Completed
427,113,6,89,12/15/2025,CASH,0.1,Completed
428,870,7,60,30/12/2023,CASH,0.0,Completed
429,281,13,32,2026-02-02,credit card,0.0,Completed
430,55,10,64,"July 18, 2026",CASH,15%,Completed
431,611,4,4,18 Oct 2024,Debit  Card,0.1,Completed
432,1110,12,68,04/15/2026,Debit  Card,0.05,Completed
433,1184,8,24,"March 08, 2025",Debit Card,0.0,Completed
434,692,12,36,"March 04, 2026",Cash,0.0,Cancelled
435,50,4,40,01/03/2026,Debit  Card,5%,Returned
436,1122,12,63,01/01/2024,Debit Card,0.0,Completed
437,67,5,89,18-03-2023,CASH,0.0,Completed
438,1060,7,62,25/09/2024,Cash,20%,Completed
439,217,8,43,30/04/2025,Credit Card,0.0,Completed
440,619,1,66,05 Apr 2026,Cash,0.0,Completed
441,231,12,40,2024-11-05,CASH,0.1,Completed
442,629,7,4,"July 29, 2023",Debit Card,0.15,Completed
443,682,6,44,08-12-2023,Debit Card,10%,Completed
444,506,7,65,13 Aug 2024,Gift Card,0.1,Completed
445,547,13,4,2023/04/28,credit card,0.0,Completed
446,1161,6,87,,Credit Card,0.0,Completed
447,848,11,18,"April 05, 2023",CASH,0.0,Completed
448,547,11,17,13 May 2026,Debit  Card,0.05,Completed
449,800,13,68,2024-12-08,credit card,0.0,Completed
450,44,13,75,"April 30, 2026",Cash,0.0,Returned
451,739,1,70,05 Oct 2025,PayPal,0.0,Completed
452,40,4,36,01/09/2023,Debit  Card,0.1,Completed
453,861,3,63,28-03-2023,Cash,15%,Completed
454,728,5,37,23-10-2025,Debit Card,5%,completed
455,975,77,90,15/05/2026,credit card,5%,Completed
456,25,2,54,2025/04/17,Cash,0.2,Completed
457,555,5,60,09-09-2025,Debit Card,0.05,Completed
458,839,12,28,2023/03/18,Store Credit,0.05,Completed
459,95,1,12,2023-06-01,Debit Card,0.0,Completed
460,692,8,52,30 Apr 2024,PayPal,0.2,Completed
461,1160,5,72,01/02/2023,Gift Card,0.0,Completed
462,307,13,70,"August 21, 2023",Debit  Card,0.0,Completed
463,1008,10,72,28/08/2024,credit card,0.0,Completed
464,968,2,11,2025/11/19,Cash,0.0,Completed
465,960,1,87,2026/07/04,Credit Card,0.15,Completed
466,238,7,16,07/05/2025,Cash,0.0,PENDING
467,1034,4,8,02/16/2024,PayPal,0.1,Completed
468,1058,9,84,11/07/2024,Debit  Card,0.1,Completed
469,1015,8,1,2025/09/02,Debit Card,0.0,Completed
470,195,3,12,2023-02-26,Store Credit,0.1,Completed
471,832,8,74,18/04/2024,CASH,25%,Completed
472,882,6,27,20-05-2026,Debit  Card,5%,Completed
473,1085,3,14,,-,10%,Completed
474,44,8,6,"July 28, 2024",Store Credit,0.1,Completed
475,891,13,75,07 Dec 2025,Credit Card,0.0,Completed
476,1055,4,35,2023/06/27,CASH,0.05,Completed
477,902,77,53,2023-02-27,Debit  Card,20%,Completed
478,551,13,44,26/08/2024,credit card,0.0,Completed
479,9999,9,21,22/11/2025,Debit  Card,0.05,Completed
480,83,4,40,02/13/2025,CASH,0.0,Completed
481,463,1,28,07-06-2025,credit card,0.0,Returned
482,908,4,31,07/01/2023,PayPal,0.0,Completed
483,781,4,43,09/23/2024,PayPal,0.0,Completed
484,754,2,17,2026/03/28,Credit Card,0.0,Completed
485,430,7,53,19/12/2025,Gift Card,5%,Completed
486,307,9,46,"May 03, 2025",Gift Card,5%,Completed
